"NDB_No"|"Seq"|"Amount"|"Msre_Desc"|"Gm_Wgt"|"Num_Data_Pts"|"Std_Dev"
"02003"|"2"|1.00|"tbsp, leaves"|2.10|30|0.12
"02003"|"3"|1.00|"tsp, ground"|1.40||
"02003"|"4"|1.00|"tbsp, ground"|4.50||
"02004"|"1"|1.00|"tbsp, crumbled"|1.80||
"02004"|"2"|1.00|"tsp, crumbled"|0.60||
"02005"|"1"|1.00|"tbsp"|6.70||
"02005"|"2"|1.00|"tsp"|2.10||
"02006"|"1"|1.00|"tbsp, ground"|5.80||
"02006"|"2"|1.00|"tsp, ground"|2.00||
"02007"|"1"|1.00|"tbsp"|6.50||
"02007"|"2"|1.00|"tsp"|2.00||
"02008"|"1"|1.00|"tbsp"|1.90||
"02008"|"2"|1.00|"tsp"|0.60||
"02009"|"1"|1.00|"tbsp"|7.50||
"02009"|"2"|1.00|"tsp"|2.60||
"02010"|"1"|1.00|"tbsp"|7.80|12|0.28
"02010"|"2"|1.00|"tsp"|2.60|13|0.13
"02011"|"1"|1.00|"tbsp"|6.60||
"02011"|"2"|1.00|"tsp"|2.10||
"02012"|"1"|1.00|"tbsp"|1.80||
"02012"|"2"|1.00|"tsp"|0.60||
"02013"|"1"|1.00|"tbsp"|5.00||
"02013"|"2"|1.00|"tsp"|1.80||
"02014"|"1"|1.00|"tbsp, whole"|6.00||
"02014"|"2"|1.00|"tsp, whole"|2.10||
"02015"|"1"|1.00|"tbsp"|6.30||
"02015"|"2"|1.00|"tsp"|2.00||
"02016"|"1"|1.00|"tbsp"|6.60||
"02016"|"2"|1.00|"tsp"|2.10||
"02017"|"1"|1.00|"tbsp"|3.10||
"02017"|"2"|1.00|"tsp"|1.00||
